/user/as6154/.conda/envs/pytorch/lib/python3.11/site-packages/transformers/optimization.py:407: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 0, Loss: 7902127.0
Epoch 0, Loss: 7902384.5
Epoch 0, Loss: 7901534.0
Epoch 0, Loss: 7902156.5
Epoch 0, Loss: 7901713.0
Epoch 0, Loss: 7901884.5
Epoch 0, Loss: 7902122.0
Epoch 0, Loss: 7901847.5
Epoch 0, Loss: 7901777.5
Epoch 0, Loss: 7902005.5
Epoch 0, Loss: 7901976.0
Epoch 0, Loss: 7903970.0
Epoch 0, Loss: 7902611.0
Epoch 0, Loss: 7901954.5
Epoch 0, Loss: 7901950.5
Epoch 0, Loss: 7902435.0
Epoch 0, Loss: 7903338.0
Epoch 0, Loss: 7904167.0
Epoch 0, Loss: 7902261.0
Epoch 0, Loss: 7900900.0
Epoch 0, Loss: 7901779.0
Epoch 0, Loss: 7902340.0
Epoch 0, Loss: 7902841.0
Epoch 0, Loss: 7901236.0
Epoch 0, Loss: 7902429.5
Epoch 0, Loss: 7902121.5
Epoch 0, Loss: 7901869.5
Epoch 0, Loss: 7901772.0
Epoch 0, Loss: 7902426.0
Epoch 0, Loss: 7901926.0
Epoch 0, Loss: 7902366.0
Epoch 0, Loss: 7902089.0
Epoch 0, Loss: 7901947.0
Epoch 0, Loss: 7902146.5
Epoch 0, Loss: 7902258.5
Epoch 0, Loss: 7902930.0
Epoch 0, Loss: 7901650.0
Epoch 0, Loss: 7902868.0
Epoch 0, Loss: 7902136.0
Epoch 0, Loss: 7901485.5
Epoch 0, Loss: 7902105.5
Epoch 0, Loss: 7901803.0
Epoch 0, Loss: 7901917.5
Epoch 0, Loss: 7901632.0
Epoch 0, Loss: 7901799.5
Epoch 0, Loss: 7902229.0
Epoch 0, Loss: 7901867.0
Epoch 0, Loss: 7900343.0
Epoch 0, Loss: 7901177.5
Epoch 0, Loss: 7902173.5
Epoch 0, Loss: 7904248.5
Epoch 0, Loss: 7901955.0
Epoch 0, Loss: 7902219.0
Epoch 0, Loss: 7902094.0
Epoch 0, Loss: 7903537.0
Epoch 0, Loss: 7902789.0
Epoch 0, Loss: 7904145.5
Epoch 0, Loss: 7902023.0
Epoch 0, Loss: 7901305.5
Epoch 0, Loss: 7900788.0
Epoch 0, Loss: 7902038.0
Epoch 0, Loss: 7903655.5
Epoch 0, Loss: 7902095.0
Epoch 0, Loss: 7902566.0
Epoch 0, Loss: 7902032.0
Epoch 0, Loss: 7903560.0
Epoch 0, Loss: 7901661.0
Epoch 0, Loss: 7901877.0
Epoch 0, Loss: 7902495.0
Epoch 0, Loss: 7901490.0
Epoch 0, Loss: 7901197.0
Epoch 0, Loss: 7901860.0
Epoch 0, Loss: 7903844.0
Epoch 0, Loss: 7902076.0
Epoch 0, Loss: 7901318.0
Epoch 0, Loss: 7902002.0
Epoch 0, Loss: 7901888.0
Epoch 0, Loss: 7902206.5
Epoch 0, Loss: 7901775.0
Epoch 0, Loss: 7902706.5
Epoch 0, Loss: 7901879.0
Epoch 0, Loss: 7901159.0
Epoch 0, Loss: 7902347.0
Epoch 0, Loss: 7901632.0
Epoch 0, Loss: 7902021.0
Epoch 0, Loss: 7901749.5
Epoch 0, Loss: 7901979.0
Epoch 0, Loss: 7903655.5
Epoch 0, Loss: 7902507.5
Epoch 0, Loss: 7903544.0
Epoch 0, Loss: 7901251.5
Epoch 0, Loss: 7901890.0
Epoch 0, Loss: 7902019.0
Epoch 0, Loss: 7901753.0
Epoch 0, Loss: 7901406.0
Epoch 0, Loss: 7902659.0
Epoch 0, Loss: 7901968.0
Epoch 0, Loss: 7901963.5
Epoch 0, Loss: 7902220.5
Epoch 0, Loss: 7901170.0
Epoch 0, Loss: 7901285.0
Epoch 0, Loss: 7902419.0
Epoch 0, Loss: 7901879.0
Epoch 0, Loss: 7902204.5
Epoch 0, Loss: 7902563.0
Epoch 0, Loss: 7902240.0
Epoch 0, Loss: 7901981.5
Epoch 0, Loss: 7901678.0
Epoch 0, Loss: 7902167.5
Epoch 0, Loss: 7901505.0
Epoch 0, Loss: 7902129.0
Epoch 0, Loss: 7901819.0
Epoch 0, Loss: 7901567.0
Epoch 0, Loss: 7902493.5
Epoch 0, Loss: 7901916.0
Epoch 0, Loss: 7902250.0
Epoch 0, Loss: 7902077.0
Epoch 0, Loss: 7901343.0
Epoch 0, Loss: 7902508.5
Epoch 0, Loss: 7901533.0
Epoch 0, Loss: 7901884.0
Epoch 0, Loss: 7901996.0
Epoch 0, Loss: 7902038.5
Epoch 0, Loss: 7903123.0
Epoch 0, Loss: 7902169.0
Epoch 0, Loss: 7901849.0
Epoch 0, Loss: 7902080.0
Epoch 0, Loss: 7903051.0
Epoch 0, Loss: 7901896.0
Epoch 0, Loss: 7902099.0
Epoch 0, Loss: 7902734.0
Epoch 0, Loss: 7902465.0
Epoch 0, Loss: 7901776.0
Epoch 0, Loss: 7903636.5
Epoch 0, Loss: 7902147.0
Epoch 0, Loss: 7901745.0
Epoch 0, Loss: 7902420.0
Epoch 0, Loss: 7901752.5
Epoch 0, Loss: 7901621.0
Epoch 0, Loss: 7902182.0
Epoch 0, Loss: 7903101.5
Epoch 0, Loss: 7902336.0
Epoch 0, Loss: 7903492.0
Epoch 0, Loss: 7901984.0
Epoch 0, Loss: 7902098.0
Epoch 0, Loss: 7901785.0
Epoch 0, Loss: 7901993.0
Epoch 0, Loss: 7901808.0
Epoch 0, Loss: 7901356.0
Epoch 0, Loss: 7900925.5
Epoch 0, Loss: 7901615.5
Epoch 0, Loss: 7903491.5
Epoch 0, Loss: 7901179.0
Epoch 0, Loss: 7903636.0
Epoch 0, Loss: 7902121.0
Epoch 0, Loss: 7901945.5
Epoch 0, Loss: 7902144.0
Epoch 0, Loss: 7900676.5
Epoch 0, Loss: 7901729.5
Epoch 0, Loss: 7902110.0
Epoch 0, Loss: 7902039.0
Epoch 0, Loss: 7901965.5
Epoch 0, Loss: 7902714.0
Epoch 0, Loss: 7902127.0
Epoch 0, Loss: 7902041.0
Epoch 0, Loss: 7902759.0
Epoch 0, Loss: 7901940.0
Epoch 0, Loss: 7902402.0
Epoch 0, Loss: 7902659.0
Epoch 0, Loss: 7901635.0
Epoch 0, Loss: 7901914.0
Epoch 0, Loss: 7901694.5
Epoch 0, Loss: 7901609.5
Epoch 0, Loss: 7901362.0
Epoch 0, Loss: 7903522.0
Epoch 0, Loss: 7901714.0
Epoch 0, Loss: 7901842.0
Epoch 0, Loss: 7901236.0
Epoch 0, Loss: 7902026.0
Epoch 0, Loss: 7901883.5
Epoch 0, Loss: 7901755.5
Epoch 0, Loss: 7902275.0
Epoch 0, Loss: 7903459.5
Epoch 0, Loss: 7901191.0
Epoch 0, Loss: 7902254.0
Epoch 0, Loss: 7903469.0
Epoch 0, Loss: 7901609.0
Epoch 0, Loss: 7901451.0
Epoch 0, Loss: 7902121.0
Epoch 0, Loss: 7901971.0
Epoch 0, Loss: 7902420.5
Epoch 0, Loss: 7902363.5
Epoch 0, Loss: 7903263.5
Epoch 0, Loss: 7901888.5
Epoch 0, Loss: 7901951.0
Epoch 0, Loss: 7901068.0
Epoch 0, Loss: 7902019.0
Epoch 0, Loss: 7901808.5
Epoch 0, Loss: 7902671.0
Epoch 0, Loss: 7902077.0
Epoch 1, Loss: 7902241.0
Epoch 1, Loss: 7901812.0
Epoch 1, Loss: 7900794.0
Epoch 1, Loss: 7900090.5
Epoch 1, Loss: 7902087.5
Epoch 1, Loss: 7903103.0
Epoch 1, Loss: 7902290.0
Epoch 1, Loss: 7901685.5
Epoch 1, Loss: 7901971.5
Epoch 1, Loss: 7902054.5
Epoch 1, Loss: 7901370.0
Epoch 1, Loss: 7902044.0
Epoch 1, Loss: 7902570.5
Epoch 1, Loss: 7902081.0
Epoch 1, Loss: 7903017.0
Epoch 1, Loss: 7902268.0
Epoch 1, Loss: 7901134.0
Epoch 1, Loss: 7901572.0
Epoch 1, Loss: 7901992.0
Epoch 1, Loss: 7901740.0
Epoch 1, Loss: 7903921.0
Epoch 1, Loss: 7901632.0
Epoch 1, Loss: 7901382.0
Epoch 1, Loss: 7902018.5
Epoch 1, Loss: 7902344.0
Epoch 1, Loss: 7901933.5
Epoch 1, Loss: 7901931.0
Epoch 1, Loss: 7902150.0
Epoch 1, Loss: 7901959.0
Epoch 1, Loss: 7902633.5
Epoch 1, Loss: 7901986.5
Epoch 1, Loss: 7901230.0
Epoch 1, Loss: 7901701.0
Epoch 1, Loss: 7901814.0
Epoch 1, Loss: 7901444.0
Epoch 1, Loss: 7901729.0
Epoch 1, Loss: 7902120.0
Epoch 1, Loss: 7901694.0
Epoch 1, Loss: 7902324.0
Epoch 1, Loss: 7902132.5
Epoch 1, Loss: 7901832.5
Epoch 1, Loss: 7902766.0
Epoch 1, Loss: 7902134.0
Epoch 1, Loss: 7902012.0
Epoch 1, Loss: 7901886.0
Epoch 1, Loss: 7902921.0
Epoch 1, Loss: 7901626.5
Epoch 1, Loss: 7901867.0
Epoch 1, Loss: 7902052.0
Epoch 1, Loss: 7902265.5
Epoch 1, Loss: 7902340.0
Epoch 1, Loss: 7901862.0
Epoch 1, Loss: 7901802.0
Epoch 1, Loss: 7901261.5
Epoch 1, Loss: 7902648.0
Epoch 1, Loss: 7901701.0
Epoch 1, Loss: 7902727.5
Epoch 1, Loss: 7901540.5
Epoch 1, Loss: 7901594.5
Epoch 1, Loss: 7902003.0
Epoch 1, Loss: 7903402.0
Epoch 1, Loss: 7901784.0
Epoch 1, Loss: 7901831.0
Epoch 1, Loss: 7901890.5
Epoch 1, Loss: 7901468.0
Epoch 1, Loss: 7901948.5
Epoch 1, Loss: 7903536.5
Epoch 1, Loss: 7902084.0
Epoch 1, Loss: 7902240.0
Epoch 1, Loss: 7901908.0
Epoch 1, Loss: 7901351.5
Epoch 1, Loss: 7902039.0
Epoch 1, Loss: 7900612.0
Epoch 1, Loss: 7901393.0
Epoch 1, Loss: 7902677.0
Epoch 1, Loss: 7901617.5
Epoch 1, Loss: 7901716.5
Epoch 1, Loss: 7901919.5
Epoch 1, Loss: 7901961.5
Epoch 1, Loss: 7902186.0
Epoch 1, Loss: 7902289.0
Epoch 1, Loss: 7902119.5
Epoch 1, Loss: 7901594.0
Epoch 1, Loss: 7901695.5
Epoch 1, Loss: 7901768.0
Epoch 1, Loss: 7902138.0
Epoch 1, Loss: 7902000.0
Epoch 1, Loss: 7902129.5
Epoch 1, Loss: 7901444.0
Epoch 1, Loss: 7901776.0
Epoch 1, Loss: 7902643.0
Epoch 1, Loss: 7901681.0
Epoch 1, Loss: 7901786.0
Epoch 1, Loss: 7900743.0
Epoch 1, Loss: 7903216.0
Epoch 1, Loss: 7902583.0
Epoch 1, Loss: 7901681.0
Epoch 1, Loss: 7902816.0
Epoch 1, Loss: 7902004.5
Epoch 1, Loss: 7901966.5
Epoch 1, Loss: 7901919.5
Epoch 1, Loss: 7901645.0
Epoch 1, Loss: 7903338.0
Epoch 1, Loss: 7901313.0
Epoch 1, Loss: 7902107.0
Epoch 1, Loss: 7901994.5
Epoch 1, Loss: 7902251.0
Epoch 1, Loss: 7901684.5
Epoch 1, Loss: 7901875.0
Epoch 1, Loss: 7900644.0
Epoch 1, Loss: 7901742.0
Epoch 1, Loss: 7900870.0
Epoch 1, Loss: 7903436.0
Epoch 1, Loss: 7901274.5
Epoch 1, Loss: 7901023.0
Epoch 1, Loss: 7902316.5
Epoch 1, Loss: 7901545.5
Epoch 1, Loss: 7901948.0
Epoch 1, Loss: 7902050.5
Epoch 1, Loss: 7902118.0
Epoch 1, Loss: 7900582.0
Epoch 1, Loss: 7901997.5
Epoch 1, Loss: 7905440.0
Epoch 1, Loss: 7901790.5
Epoch 1, Loss: 7901513.0
Epoch 1, Loss: 7901862.0
Epoch 1, Loss: 7903613.5
Epoch 1, Loss: 7902495.0
