2024-07-16 17:03:19,852 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Configure stats pid to 483055
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Loading settings from /user/as6154/.config/wandb/settings
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Loading settings from /user/as6154/dissert/wandb/settings
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'gpt2.py', 'program_abspath': '/user/as6154/dissert/gpt2.py', 'program': '/user/as6154/dissert/gpt2.py'}
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-16 17:03:19,853 INFO    MainThread:483055 [wandb_init.py:_log_setup():529] Logging user logs to /user/as6154/dissert/wandb/run-20240716_170319-pfgi87sm/logs/debug.log
2024-07-16 17:03:19,854 INFO    MainThread:483055 [wandb_init.py:_log_setup():530] Logging internal logs to /user/as6154/dissert/wandb/run-20240716_170319-pfgi87sm/logs/debug-internal.log
2024-07-16 17:03:19,854 INFO    MainThread:483055 [wandb_init.py:init():569] calling init triggers
2024-07-16 17:03:19,854 INFO    MainThread:483055 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-16 17:03:19,854 INFO    MainThread:483055 [wandb_init.py:init():619] starting backend
2024-07-16 17:03:19,855 INFO    MainThread:483055 [wandb_init.py:init():623] setting up manager
2024-07-16 17:03:19,856 INFO    MainThread:483055 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-16 17:03:19,859 INFO    MainThread:483055 [wandb_init.py:init():631] backend started and connected
2024-07-16 17:03:19,864 INFO    MainThread:483055 [wandb_init.py:init():720] updated telemetry
2024-07-16 17:03:19,864 INFO    MainThread:483055 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-16 17:03:20,086 INFO    MainThread:483055 [wandb_run.py:_on_init():2402] communicating current version
2024-07-16 17:03:20,114 INFO    MainThread:483055 [wandb_run.py:_on_init():2411] got version response 
2024-07-16 17:03:20,114 INFO    MainThread:483055 [wandb_init.py:init():804] starting run threads in backend
2024-07-16 17:03:26,307 INFO    MainThread:483055 [wandb_run.py:_console_start():2380] atexit reg
2024-07-16 17:03:26,307 INFO    MainThread:483055 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-16 17:03:26,308 INFO    MainThread:483055 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-16 17:03:26,308 INFO    MainThread:483055 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-16 17:03:26,312 INFO    MainThread:483055 [wandb_init.py:init():847] run started, returning control to user process
2024-07-16 17:05:27,975 WARNING MsgRouterThr:483055 [router.py:message_loop():77] message_loop has been closed
